Prefix,LastName,FirstName,Suffix,StateDst,Year,FilingDate,DocID,PDF_URL,PDF_Status
Hon.,Aderholt,Robert B.,,AL04,2022,2022-12-13,20022132,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20022132.pdf,Valid
Hon.,Aderholt,Robert B.,,AL04,2022,2022-09-23,20021740,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021740.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-12-19,20024101,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024101.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-11-16,20024001,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024001.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-10-05,20023812,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023812.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-09-08,20023622,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023622.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-08-10,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2023,2023-06-02,20022986,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022986.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2022,2022-09-10,20021681,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021681.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2022,2022-03-09,20020585,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020585.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2022,2022-02-13,20020448,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020448.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-11-10,20019790,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019790.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-11-08,20019653,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019653.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-11-08,20019774,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019774.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-11-08,20019775,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019775.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-10-20,20019561,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019561.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-06-12,20018906,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018906.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-05-09,20018703,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018703.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-04-06,20018530,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018530.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-03-14,20018393,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018393.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2021,2021-01-13,20018021,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018021.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2020,2020-10-06,20017470,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017470.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2020,2020-08-18,20017164,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017164.pdf,Valid
Hon.,Allen,Richard W.,,GA12,2020,2020-07-20,20016985,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016985.pdf,Valid
Hon.,Amash,Justin,,MI03,2020,2020-04-15,20016417,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016417.pdf,Valid
Hon.,Auchincloss,Jake,,MA04,2022,2022-04-10,20020708,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020708.pdf,Valid
Hon.,Axne,Cindy,,IA03,2023,2023-01-02,20022202,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022202.pdf,Valid
